RANK	URL	PAGESPEED	YSLOW	ONLOAD	FULLY LOADED	REQUESTS	TOTAL SIZE
400	http://www.game2.cn/	70%	55%	6.6s	10.1s	135	1.09MB
401	http://www.suite101.com/	99%	95%	0.8s		10	163KB
402	http://www.squidoo.com/	72%	90%	9.0s	9.0s	99	849KB
403	http://www.teacup.com/	80%	64%	2.3s	2.4s	44	808KB
404	http://www.windowslive.com/	93%	97%	1.7s		9	50.9KB
405	http://www.addictinggames.com/	72%	54%	4.5s	10.1s	188	3.28MB
406	http://www.filehippo.com/	31%	40%	14.0s	14.1s	411	2.12MB
407	http://www.sdo.com/	50%	64%	13.1s	13.1s	86	6.04MB
409	http://www.ustream.tv/	49%	48%	6.3s	20.2s	231	12.7MB
410	http://www.tistory.com/	81%	72%	3.0s	3.0s	41	935KB
411	http://www.115.com/	89%	75%	9.4s	9.4s	23	878KB
412	http://www.liutilities.com/	73%	55%	3.6s	3.8s	71	551KB
413	http://www.jalan.net/	9%	51%	10.5s	18.5s	535	6.11MB
414	http://www.webs.com/	76%	67%	2.5s	2.8s	73	958KB
415	http://www.naqigs.com/	100%	98%	341ms	342ms	2	8.14KB
416	http://www.ccb.com.cn/	98%	96%	2.3s	2.6s	4	53.8KB
417	http://www.it168.com/	51%	62%	6.0s	6.8s	100	2.84MB
418	http://www.etology.com/	24%	54%	4.7s	5.0s	144	8.31MB
419	http://www.everesttech.net/	21%	68%	3.4s	14.3s	205	4.10MB
420	http://www.intelius.com/	82%	64%	3.0s	3.6s	62	535KB
421	http://www.sina.com/	81%	65%	2.5s	22.6s	75	611KB
422	http://www.pomoho.com/	70%	68%	5.3s	8.8s	38	1.53MB
423	http://www.serving-sys.com/	84%	98%	0.6s	0.6s	2	167KB
424	http://www.sciencedirect.com/	85%	66%	2.6s	3.0s	53	830KB
425	http://www.ccbill.com/	65%	62%	2.3s	3.1s	59	465KB
426	http://www.incredimail.com/	80%	62%	2.2s	2.8s	44	1.69MB
427	http://www.capitalone.com/	70%	53%	3.6s	5.7s	81	1.46MB
428	http://www.yellowpages.com/	80%	60%	3.0s	3.4s	65	888KB
429	http://www.geocities.co.jp/	70%	65%	4.2s	4.6s	59	877KB
430	http://www.ebay.it/	37%	69%	2.4s	13.3s	207	2.09MB
431	http://www.glispa.com/	32%	53%	92.3s	92.6s	71	3.21MB
432	http://www.hotels.com/	61%	61%	3.2s	6.9s	160	1.55MB
433	http://www.opendns.com/	38%	55%	2.7s	3.7s	85	3.56MB
434	http://www.engadget.com/	28%	38%	26.5s	38.2s	703	5.53MB
435	http://www.chosun.com/	23%	48%	8.9s	9.0s	276	5.12MB
436	http://www.y8.com/	75%	65%	5.2s	6.2s	110	2.21MB
437	http://www.ourtoolbar.com/	86%	76%	0.7s	0.7s	17	64.7KB
438	http://www.oricon.co.jp/	48%	48%	11.7s	13.0s	237	1.89MB
439	http://www.downloadhelper.net/	99%	93%	0.9s	1.0s	21	463KB
440	http://www.oyunlar1.com/	64%	63%	3.9s	7.1s	188	1.53MB
441	http://www.vector.co.jp/	69%	63%	4.2s	4.2s	66	3.82MB
442	http://www.cmbchina.com/	52%	60%	3.8s	3.8s	96	1.06MB
443	http://www.farmville.com/	84%	73%	2.8s	3.0s	50	946KB
444	http://www.120ask.com/	52%	68%	7.2s	8.0s	161	2.03MB
445	http://www.chip.de/	65%	47%	8.2s	9.2s	159	1.81MB
446	http://www.atwiki.jp/	65%	67%	3.0s	3.1s	48	1.13MB
447	http://www.zhaopin.com/	67%	56%	9.1s	10.0s	85	926KB
448	http://www.unkar.org/	99%	99%	108ms		1	541B
449	http://www.freeonlinegames.com/	64%	61%	6.7s	6.8s	205	2.19MB
450	http://www.wordpress.org/	86%	71%	2.2s	2.2s	43	1.44MB
451	http://www.latimes.com/	17%	52%	5.2s	25.5s	650	4.44MB
452	http://www.fotolog.com/	41%	59%	4.7s	5.2s	178	2.19MB
453	http://www.fastbrowsersearch.com/	91%	90%	0.7s	0.7s	17	289KB
454	http://www.mp3raid.com/	83%	68%	2.5s	2.9s	38	819KB
455	http://www.pagesjaunes.fr/	76%	56%	6.6s	12.6s	75	1.00MB
456	http://www.boston.com/	34%	55%	7.1s	21.0s	590	3.56MB
457	http://www.mobile.de/	47%	52%	12.2s	15.5s	254	2.60MB
459	http://www.5d6d.com/	75%	79%	9.7s		46	170KB
460	http://www.aufeminin.com/	38%	67%	3.4s	22.9s	379	2.92MB
461	http://www.wikihow.com/	72%	88%	2.8s	4.4s	82	3.59MB
462	http://www.11st.co.kr/	52%	59%	8.7s	23.3s	181	1.96MB
463	http://www.yaplog.jp/	54%	47%	5.6s	5.7s	124	2.40MB
464	http://www.passport.net/	51%	91%	2.9s		16	29.7KB
465	http://www.merriam-webster.com/	53%	43%	10.2s	12.5s	239	1.87MB
466	http://www.itmedia.co.jp/	70%	50%	7.8s	8.6s	194	2.00MB
467	http://www.cookpad.com/	62%	66%	5.3s	9.7s	139	1.39MB
468	http://www.mercadolivre.com.br/	89%	92%	1.1s	5.3s	110	1.78MB
469	http://www.tu.tv/	26%	49%	9.2s	28.6s	545	1.71MB
470	http://www.wauee.com/	84%	61%	7.3s	7.3s	35	693KB
471	http://www.priceline.com/	61%	69%	5.4s	11.8s	191	1.88MB
472	http://www.zshare.net/	66%	82%	0.7s		10	49.4KB
473	http://www.cooliris.com/	91%	87%	1.2s	2.4s	10	75.2KB
474	http://www.qunar.com/	59%	44%	12.8s	13.7s	128	2.01MB
475	http://www.ryanair.com/	61%	50%	12.4s	14.6s	160	3.29MB
476	http://www.interia.pl/	66%	64%	4.9s	14.9s	248	2.26MB
477	http://www.ig.com.br/	61%	55%	5.9s	15.6s	307	2.66MB
478	http://www.monster.com/	69%	58%	3.5s	6.3s	100	790KB
479	http://www.archive.org/	68%	69%	2.2s	2.2s	46	808KB
480	http://www.alice.it/	82%	64%	9.0s		207	725KB
481	http://www.xinmin.cn/	1%	61%	8.3s	9.2s	114	8.71MB
482	http://www.fixya.com/	93%	71%	1.4s	1.9s	36	704KB
483	http://www.nikkansports.com/	28%	41%	7.7s	8.7s	210	2.89MB
484	http://www.funshion.com/	79%	75%	5.3s	6.1s	69	1.28MB
485	http://www.vnet.cn/	54%	56%	93.0s	93.0s	141	780KB
486	http://www.sears.com/	57%	71%	2.5s	20.1s	288	1.81MB
487	http://www.bild.de/	33%	40%	11.6s	14.5s	336	3.31MB
488	http://www.ebay.fr/	42%	72%	6.0s	11.7s	169	2.34MB
489	http://www.iminent.com/	67%	69%	3.0s	3.0s	87	3.74MB
490	http://www.uploading.com/	100%	96%	1.1s	1.1s	3	218KB
491	http://www.baofeng.com/	65%	56%	3.3s	4.2s	57	1.15MB
492	http://www.1ting.com/	64%	51%	10.6s	12.7s	141	944KB
493	http://www.macys.com/	35%	47%	6.6s	18.1s	277	3.10MB
494	http://www.kuwo.cn/	67%	60%	23.8s	24.9s	59	2.20MB
495	http://www.bitauto.com/	49%	49%	18.6s	19.1s	284	2.85MB
496	http://www.tiexue.net/	30%	50%	82.6s	85.8s	374	5.28MB
497	http://www.mpnrs.com/	100%	97%	0.8s	0.8s	2	8.23KB
498	http://www.nowdownloadall.com/	94%	81%	2.3s	2.3s	24	721KB
499	http://www.southwest.com/	63%	47%	4.7s	4.9s	77	857KB
500	http://www.ce.cn/	70%	67%	3.6s	4.4s	47	2.00MB
501	http://www.in.com/	68%	52%	14.4s	14.5s	176	4.92MB
502	http://www.allrecipes.com/	37%	49%	6.2s	25.0s	331	2.53MB
503	http://www.novoteka.ru/	53%	50%	6.5s	7.2s	91	327KB
504	http://www.travelocity.com/	53%	44%	7.7s	17.5s	348	3.02MB
505	http://www.people.com/	0%	44%	12.8s	33.3s	1125	8.44MB
506	http://www.timesonline.co.uk/	24%	48%	18.9s	38.7s	631	5.96MB
507	http://www.dealtime.com/	76%	60%	3.8s	4.8s	88	724KB
508	http://www.ticketmaster.com/	40%	47%	6.7s	18.2s	390	4.39MB
509	http://www.mtv.com/	70%	52%	4.5s	6.3s	128	1.10MB
510	http://www.gazeta.pl/	47%	40%	12.2s	32.3s	250	4.26MB
511	http://www.bin-layer.de/	92%	76%	1.5s	1.6s	24	278KB
512	http://www.9wee.com/	79%	75%	3.7s	3.7s	33	1.04MB
513	http://www.donga.com/	38%	44%	6.5s	6.5s	206	2.42MB
514	http://www.lowes.com/	90%	74%	1.9s	2.5s	16	212KB
515	http://www.fanpop.com/	44%	55%	5.8s	26.0s	203	3.65MB
516	http://www.cnxad.com/	78%	60%	25.9s	25.9s	47	1.24MB
517	http://www.angelfire.com/	71%	64%	2.1s	2.1s	48	490KB
518	http://www.blackberry.com/	61%	69%	3.7s	5.0s	54	2.34MB
519	http://www.01net.com/	47%	47%	14.8s	17.4s	306	2.51MB
520	http://www.wunderground.com/	31%	42%	53.1s	72.3s	538	3.25MB
521	http://www.news.cn/	29%	49%	6.2s	25.6s	209	3.73MB
523	http://www.sapo.pt/	73%	54%	4.9s	5.1s	105	1.11MB
524	http://www.deviantart.net/	49%	64%	6.7s		217	9.6MB
525	http://www.nydailynews.com/	28%	62%	4.6s	24.7s	671	5.07MB
526	http://www.mtime.com/	91%	70%	6.5s		26	605KB
527	http://www.univision.com/	31%	64%	4.0s	22.9s	491	3.25MB
528	http://www.sfr.fr/	48%	50%	9.0s	11.3s	240	2.52MB
529	http://www.winamp.com/	76%	67%	2.5s	2.5s	46	916KB
530	http://www.webshots.com/	36%	50%	14.3s	16.4s	132	3.87MB
531	http://www.enet.com.cn/	19%	69%	5.3s	5.3s	28	4.31MB
532	http://www.made-in-china.com/	93%	73%	3.2s	3.7s	41	590KB
533	http://www.constantcontact.com/	62%	61%	3.1s	8.7s	145	1.26MB
534	http://www.examiner.com/	45%	47%	5.9s	8.2s	128	2.35MB
535	http://www.pandora.tv/	6%	52%	14.8s	16.3s	293	9.24MB
536	http://www.abril.com.br/	49%	57%	5.8s	7.1s	127	2.12MB
537	http://www.indeed.com/	86%	91%	0.8s	2.6s	23	216KB
538	http://www.overstock.com/	64%	72%	4.3s	9.6s	215	3.66MB
539	http://www.xywy.com/	35%	58%	7.2s	7.2s	115	3.62MB
540	http://www.gizmodo.com/	22%	40%	17.4s	32.1s	470	5.17MB
541	http://www.wiktionary.org/	84%	78%	1.3s	1.4s	22	126KB
542	http://www.shinobi.jp/	78%	60%	4.8s	4.8s	59	693KB
543	http://www.pandora.com/	100%	99%	212ms	232ms	2	11.1KB
544	http://www.dianping.com/	89%	75%	3.1s	4.3s	45	499KB
545	http://www.repubblica.it/	66%	61%	5.2s	5.7s	97	1.09MB
546	http://www.360doc.com/	49%	60%	5.6s	6.4s	120	1.40MB
547	http://www.duote.com/	64%	61%	6.4s	7.2s	81	532KB
548	http://www.176.com/	75%	58%	6.1s	6.9s	61	463KB
549	http://www.intel.com/	62%	71%	2.2s	7.5s	112	3.12MB
550	http://www.accountonline.com/	54%	43%	4.7s	23.0s	243	1.72MB
551	http://www.aibang.com/	86%	69%	32.1s	32.9s	51	636KB
552	http://www.altervista.org/	81%	68%	3.6s	4.4s	41	804KB
553	http://www.rapid-downloads.com/	94%	81%	2.4s	2.4s	24	721KB
554	http://www.xe.com/	49%	47%	8.3s	9.7s	189	1.82MB
555	http://www.pixnet.net/	58%	58%	7.1s		179	4.45MB
556	http://www.wareseeker.com/	72%	69%	1.7s	14.3s	41	436KB
557	http://www.ebuddy.com/	88%	79%	2.0s	2.0s	34	1.15MB
558	http://www.radikal.ru/	20%	40%	19.6s	29.0s	349	2.95MB
559	http://www.webgame.com.cn/	35%	67%	9.6s		165	2.08MB
560	http://www.jcpenney.com/	65%	64%	6.1s	21.4s	260	2.84MB
561	http://www.armorgames.com/	45%	55%	10.3s	11.0s	230	2.37MB
562	http://www.information.com/	91%	84%	1.6s	1.6s	16	751KB
563	http://www.downloadcave.com/	83%	78%	3.4s	23.3s	35	102KB
564	http://www.orbitz.com/	59%	52%	6.9s	13.8s	289	4.74MB
565	http://www.ca.gov/	48%	66%	2.8s	3.3s	81	3.65MB
566	http://www.zaycev.net/	52%	48%	12.3s	27.7s	195	1.87MB
567	http://www.imvu.com/	68%	63%	4.0s	4.0s	85	3.82MB
568	http://www.rian.ru/	26%	35%	13.5s	16.9s	309	13.4MB
569	http://www.usagc.org/	96%	90%	2.2s	2.2s	7	95.5KB
570	http://www.metroflog.com/	66%	82%	4.8s	6.1s	55	2.14MB
571	http://www.medicinenet.com/	100%	67%	5.7s		185	1.04MB
572	http://www.classmates.com/	61%	51%	2.2s	16.8s	172	1.18MB
573	http://www.windowsmedia.com/	69%	63%	6.5s	7.5s	74	1.15MB
574	http://www.detik.com/	48%	53%	9.5s	10.7s	263	3.28MB
575	http://www.mk.co.kr/	33%	61%	4.5s	5.0s	158	2.89MB
576	http://www.microsofttranslator.com/	88%	70%	1.1s	2.2s	43	518KB
577	http://www.verizon.net/	53%	48%	4.3s	7.4s	162	2.31MB
578	http://www.cartoonnetwork.com/	62%	58%	4.4s	5.4s	169	1.90MB
579	http://www.mt.co.kr/	15%	48%	6.1s	6.1s	156	7.78MB
580	http://www.fangeye.com/	81%	75%	6.0s	6.0s	36	264KB
581	http://www.rr.com/	96%	97%	409ms	411ms	4	82.5KB
582	http://www.fresheye.com/	62%	46%	4.0s	6.0s	100	737KB
583	http://www.sweetim.com/	51%	67%	6.4s		45	951KB
584	http://www.stumbleupon.com/	53%	67%	2.5s	7.1s	137	2.40MB
585	http://www.myvideo.de/	71%	54%	8.8s	10.8s	100	2.16MB
586	http://www.hotpepper.jp/	59%	59%	3.1s	7.0s	146	687KB
587	http://www.pcgames.com.cn/	82%	69%	6.3s	16.6s	73	2.24MB
588	http://www.costco.com/	66%	52%	9.0s	9.3s	107	2.97MB
589	http://www.uploaded.to/	84%	71%	2.2s	2.7s	26	417KB
590	http://www.xiaonei.com/	79%	62%	11.4s	11.4s	57	0.98MB
591	http://www.24h.com.vn/	59%	51%	12.2s	12.2s	161	1.53MB
592	http://www.cncmax.cn/	100%	99%	0.5s		1	505B
593	http://www.mafiawars.com/	88%	74%	2.9s	2.9s	60	1.18MB
594	http://www.priceminister.com/	28%	48%	7.1s	21.3s	439	4.23MB
595	http://www.w3.org/	61%	88%	1.8s	1.8s	41	688KB
596	http://www.nhaccuatui.com/	67%	56%	10.6s	10.7s	128	3.09MB
597	http://www.vnexpress.net/	23%	41%	56.9s	77.9s	1033	7.27MB
598	http://www.foxnetworks.com/	86%	91%	2.3s	2.3s	47	8.24MB
599	http://www.freakshare.net/	76%	78%	1.5s	1.5s	31	86.3KB
600	http://www.rutracker.org/	31%	40%	14.4s	34.1s	425	2.29MB
601	http://www.elmundo.es/	11%	48%	25.9s	34.3s	862	4.77MB
602	http://www.torrentreactor.net/	100%	100%	468ms	494ms	1	755B
603	http://www.best-price.com/	87%	60%	3.0s	5.2s	67	445KB
604	http://www.nasa.gov/	67%	67%	5.4s	6.8s	95	6.54MB
605	http://www.mdinfo.com/	72%	77%	2.0s		42	206KB
606	http://www.limewire.com/	100%	100%	239ms	297ms	1	617B
607	http://www.wer-kennt-wen.de/	39%	43%	27.3s	43.3s	311	3.35MB
608	http://www.nikkei.com/	31%	36%	18.3s	20.1s	304	2.98MB
609	http://www.51seer.com/	83%	67%	7.4s	10.9s	44	1.86MB
610	http://www.gap.com/	52%	65%	5.9s	25.2s	271	2.72MB
611	http://www.wiley.com/	56%	62%	5.1s	5.7s	106	2.28MB
612	http://www.time.com/	8%	40%	22.8s	42.9s	1025	5.18MB
613	http://www.elsevier.com/	75%	51%	4.1s	4.9s	91	1.01MB
614	http://www.howstuffworks.com/	56%	53%	4.2s	12.9s	241	1.42MB
615	http://www.agame.com/	59%	53%	7.0s	24.1s	267	2.70MB
616	http://www.che168.com/	64%	70%	7.4s	8.2s	149	2.42MB
617	http://www.corriere.it/	28%	51%	8.0s	23.6s	292	3.85MB
618	http://www.xorg.pl/	90%	64%	4.0s	4.0s	31	674KB
619	http://www.wachovia.com/	67%	74%	2.7s	3.6s	67	0.96MB
620	http://www.thesun.co.uk/	31%	43%	14.2s	27.8s	436	2.80MB
621	http://www.girlsgogames.com/	66%	56%	8.7s	13.2s	206	2.19MB
622	http://www.piriform.com/	83%	61%	3.5s	4.3s	70	1.10MB
623	http://www.chinaren.com/	90%	95%	2.4s	2.4s	12	32.8KB
624	http://www.rbc.ru/	34%	39%	13.7s	18.2s	328	5.48MB
625	http://www.spiegel.de/	44%	48%	19.5s	38.1s	362	3.91MB
626	http://www.tbs.co.jp/	67%	65%	3.7s	3.7s	79	703KB
627	http://www.europa.eu/	87%	73%	3.3s	3.6s	26	143KB
628	http://www.btjunkie.org/	91%	98%	1.2s		2	3.27KB
629	http://www.vancl.com/	41%	72%	7.8s	8.1s	240	7.88MB
630	http://www.citibank.com/	47%	43%	6.0s	11.1s	229	2.09MB
631	http://www.clubpenguin.com/	68%	70%	2.6s	7.1s	80	3.16MB
632	http://www.verizon.com/	41%	55%	2.0s	5.1s	100	2.53MB
633	http://www.forbes.com/	43%	51%	8.5s	11.4s	270	1.14MB
634	http://www.huanlang.com/	64%	65%	5.8s	6.7s	59	617KB
635	http://www.delta.com/	41%	53%	6.9s	22.8s	212	3.37MB
636	http://www.sky.com/	56%	53%	6.0s	10.2s	156	5.31MB
637	http://www.nikkei.co.jp/	31%	36%	12.3s	13.4s	328	3.01MB
638	http://www.norton.com/	57%	48%	4.7s	17.6s	203	1.89MB
639	http://www.rapid4me.com/	95%	83%	3.8s	4.3s	20	343KB
640	http://www.seznam.cz/	40%	45%	10.8s	16.1s	208	1.54MB
641	http://www.zoosk.com/	86%	91%	1.9s	3.5s	36	800KB
642	http://www.jstor.org/	83%	66%	3.8s	3.9s	45	817KB
643	http://www.19lou.com/	75%	61%	9.6s	10.6s	100	6.34MB
644	http://www.juegos.com/	49%	51%	11.0s	20.7s	324	2.48MB
645	http://www.easyjet.com/	38%	59%	7.8s	9.0s	149	4.17MB
646	http://www.hyves.nl/	89%	88%	3.1s	3.1s	10	388KB
647	http://www.cbsnews.com/	39%	84%	1.9s	20.8s	487	2.82MB
648	http://www.yoka.com/	46%	64%	7.7s	8.5s	194	8.73MB
649	http://www.mylife.com/	78%	56%	6.0s	6.8s	69	1.17MB
650	http://www.jrj.com.cn/	38%	44%	8.8s	9.7s	237	3.36MB
651	http://www.xmarks.com/	91%	74%	1.7s	1.7s	27	327KB
652	http://www.businessweek.com/	35%	37%	18.2s	33.1s	474	5.17MB
653	http://www.partypoker.it/	72%	63%	3.5s	3.5s	31	514KB
654	http://www.shop-pro.jp/	69%	54%	4.4s	5.9s	104	1.35MB
655	http://www.taleo.net/	62%	52%	5.3s	6.2s	99	935KB
656	http://www.dantri.com.vn/	41%	43%	17.7s	37.7s	349	3.13MB
657	http://www.ovi.com/	98%	97%	0.7s		17	1.17MB
658	http://www.pcworld.com/	33%	50%	14.8s	32.2s	443	2.96MB
659	http://www.xcar.com.cn/	35%	52%	11.8s	14.6s	209	3.54MB
660	http://www.chinaz.com/	46%	64%	26.7s		109	3.28MB
661	http://www.nike.com/	57%	63%	5.2s	10.7s	138	2.38MB
662	http://www.ya.ru/	87%	79%	4.8s	5.0s	22	170KB
663	http://www.picnik.com/	94%	87%	0.7s	0.7s	11	69.6KB
664	http://www.pchome.com.tw/	50%	46%	5.1s	5.1s	185	1.74MB
665	http://www.with2.net/	99%	92%	0.8s	0.8s	4	19.8KB
666	http://www.pogo.com/	49%	46%	10.8s	19.2s	299	3.21MB
667	http://www.fanbox.com/	100%	86%	1.4s		37	718KB
668	http://www.95599.cn/	62%	62%	4.6s	4.6s	74	2.49MB
669	http://www.evite.com/	53%	51%	7.1s	11.6s	219	2.14MB
670	http://www.159game.com/	70%	72%	10.5s		127	2.40MB
671	http://www.hankooki.com/	23%	47%	10.4s	10.4s	238	5.43MB
672	http://www.stayfriends.de/	67%	51%	4.2s	6.6s	119	706KB
673	http://www.mozilla-europe.org/	83%	90%	2.7s	2.7s	37	804KB
674	http://www.gutefrage.net/	76%	70%	6.2s	6.2s	61	944KB
675	http://www.logmein.com/	74%	86%	2.1s	7.2s	84	2.00MB
676	http://www.break.com/	42%	54%	3.3s	23.8s	331	2.10MB
677	http://www.paran.com/	38%	58%	6.2s	6.2s	54	3.96MB
678	http://www.mercadolibre.com.mx/	87%	92%	1.2s	6.3s	118	2.80MB
679	http://www.wrzuta.pl/	49%	55%	7.2s	25.6s	455	4.65MB
680	http://www.blogcu.com/	77%	48%	7.6s	9.6s	103	684KB
681	http://www.winzip.com/	67%	68%	2.1s	2.4s	65	466KB
682	http://www.bahn.de/	48%	54%	8.2s	8.9s	186	1.79MB
683	http://www.topshareware.com/	81%	68%	1.6s	1.6s	33	451KB
684	http://www.acer.com/	75%	57%	3.6s	3.7s	108	3.04MB
685	http://www.mynet.com/	65%	50%	8.9s	29.2s	208	3.20MB
686	http://www.urbandictionary.com/	61%	54%	7.2s	8.1s	191	3.35MB
687	http://www.sanook.com/	62%	49%	14.0s	24.1s	226	3.30MB
688	http://www.rayfile.com/	73%	66%	3.2s	3.2s	26	241KB
689	http://www.usenet.nl/	66%	68%	6.4s	6.4s	32	705KB
690	http://www.encyclopedia.com/	74%	46%	6.5s	6.5s	124	718KB
691	http://www.imagevenue.com/	100%	100%	377ms	485ms	1	594B
692	http://www.qip.ru/	58%	50%	12.1s	31.6s	270	2.19MB
693	http://www.discovery.com/	33%	54%	7.9s	13.7s	180	3.37MB
694	http://www.yam.com/	52%	77%	3.1s	12.8s	197	1.58MB
695	http://www.265.com/	68%	60%	4.1s	5.1s	100	716KB
696	http://www.mashable.com/	29%	48%	13.2s	33.5s	580	3.33MB
697	http://www.me.com/	97%	96%	1.5s	7.5s	43	1.55MB
698	http://www.yandex.ua/	75%	65%	7.3s	14.3s	123	1.96MB
699	http://www.foodnetwork.com/	39%	39%	13.7s	18.3s	306	5.75MB
700	http://www.freewebs.com/	76%	67%	3.0s	3.3s	74	959KB
701	http://www.sonyericsson.com/	69%	60%	4.4s	4.5s	84	920KB
702	http://www.61.com/	68%	71%	4.7s	5.6s	76	3.06MB
703	http://www.articlesbase.com/	62%	67%	4.4s	4.4s	59	1.32MB
704	http://www.ct10000.com/	100%	98%	3.3s		3	13.3KB
705	http://www.mufg.jp/	46%	61%	4.2s	4.2s	100	1.36MB
706	http://www.xrea.com/	53%	59%	4.2s	5.4s	114	2.01MB
707	http://www.chinacars.com/	55%	73%	23.7s		82	1.40MB
708	http://www.cri.cn/	67%	65%	7.3s	9.5s	112	1.41MB
709	http://www.movies-links.tv/	90%	87%	2.1s	2.2s	29	247KB
710	http://www.match.com/	67%	53%	3.5s	5.0s	87	662KB
711	http://www.blogbus.com/	99%	86%	3.7s	4.5s	10	57.6KB
712	http://www.livescore.com/	51%	51%	9.1s	10.7s	183	838KB
713	http://www.zhcw.com/	65%	46%	7.3s	7.3s	67	911KB
714	http://www.ebay.com.au/	18%	76%	3.1s	10.5s	176	4.76MB
715	http://www.istockphoto.com/	55%	68%	2.5s	22.8s	193	1.78MB
716	http://www.speedtest.net/	25%	49%	17.7s	36.1s	651	3.06MB
717	http://www.windowslivehelp.com/	79%	77%	9.4s		50	526KB
718	http://www.sprint.com/	62%	53%	5.9s	12.5s	177	1.82MB
719	http://www.superpages.com/	92%	70%	2.6s	4.3s	47	1.19MB
720	http://www.infospace.com/	70%	65%	2.4s	2.4s	21	537KB
721	http://www.accuweather.com/	37%	46%	16.4s	36.6s	450	3.49MB
722	http://www.doctissimo.fr/	49%	52%	11.1s	14.8s	267	3.43MB
723	http://www.openv.com/	86%	83%	3.2s		36	214KB
724	http://www.msn.com.cn/	61%	80%	1.6s	3.9s	82	671KB
725	http://www.t-mobile.com/	52%	53%	7.2s	22.2s	258	3.32MB
726	http://www.tuenti.com/	96%	89%	3.5s	3.5s	22	324KB
727	http://www.tmz.com/	30%	43%	11.3s	27.3s	627	7.52MB
728	http://www.otto.de/	62%	66%	2.5s	10.7s	125	1.45MB
729	http://www.gemius.pl/	81%	65%	2.7s	3.1s	52	596KB
730	http://www.shoplocal.com/	56%	50%	4.1s	4.3s	108	1.76MB
731	http://www.barnesandnoble.com/	59%	49%	6.4s	10.4s	206	2.31MB
732	http://www.pclady.com.cn/	56%	69%	4.3s	16.8s	114	3.08MB
733	http://www.ninemsn.com.au/	60%	62%	93.8s	93.9s	58	1.26MB
734	http://www.wanfangdata.com.cn/	37%	48%	6.0s	6.8s	104	3.69MB
735	http://www.51fswd.com/	91%	97%	1.3s		2	3.91KB
736	http://www.programas-gratis.net/	89%	64%	5.0s	6.1s	69	684KB
737	http://www.pronto.com/	96%	90%	0.8s	0.8s	11	143KB
738	http://www.baixing.com/	94%	80%	3.4s	4.2s	28	305KB
739	http://www.worldstarhiphop.com/	46%	51%	6.7s	7.2s	162	1.86MB
740	http://www.yahoo.com.tw/	57%	35%	13.5s	23.1s	383	3.45MB
741	http://www.cnki.com.cn/	37%	61%	7.9s	7.9s	95	653KB
742	http://www.w3schools.com/	92%	81%	1.5s	1.6s	32	461KB
743	http://www.unlimited-downloads.biz/	95%	84%	2.5s	2.5s	18	270KB
744	http://www.qq163.com/	74%	69%	3.3s	4.1s	50	533KB
745	http://www.carview.co.jp/	99%	92%	0.9s	0.9s	5	27.5KB
746	http://www.zjol.com.cn/	59%	63%	9.8s	10.2s	82	3.44MB
747	http://www.bebo.com/	15%	95%	1.4s	4.0s	51	8.40MB
748	http://www.delicious.com/	44%	66%	2.5s	2.5s	62	1.57MB
749	http://www.hinet.net/	42%	57%	7.6s	27.1s	721	7.57MB
750	http://www.buzzle.com/	89%	82%	1.6s	2.1s	28	563KB
751	http://www.schuelervz.net/	97%	86%	0.9s	0.9s	8	41.0KB
752	http://www.nationalgeographic.com/	52%	51%	6.9s	11.8s	225	7.17MB
753	http://www.local.com/	50%	71%	2.6s	22.2s	88	2.55MB
754	http://www.tv.com/	0%	41%	10.8s	31.2s	858	10.4MB
755	http://www.kaskus.us/	94%	87%	3.3s	3.6s	13	43.6KB
756	http://www.etsy.com/	71%	85%	3.0s	4.6s	87	1.50MB
757	http://www.eastday.com/	13%	52%	98.4s	98.4s	227	5.73MB
758	http://www.shumenol.com/	62%	53%	10.7s	12.0s	75	1.64MB
759	http://www.sendspace.com/	88%	67%	2.1s	2.1s	36	741KB
760	http://www.citysearch.com/	93%	85%	1.4s	1.4s	27	276KB
761	http://www.zaobao.com/	52%	55%	8.2s	11.4s	246	3.23MB
762	http://www.ed.gov/	64%	56%	2.4s	2.4s	44	817KB
763	http://www.irctc.co.in/	72%	64%	5.5s	5.9s	57	950KB
764	http://www.downtr.net/	92%	77%	1.9s	1.9s	25	302KB
765	http://www.laredoute.fr/	87%	61%	4.0s	4.2s	65	0.98MB
766	http://www.playstation.com/	42%	49%	6.4s	10.2s	253	5.36MB
767	http://www.elpais.com/	32%	41%	24.1s	39.4s	536	2.84MB
768	http://www.utorrent.com/	57%	40%	2.7s	3.5s	107	974KB
769	http://www.blogmura.com/	45%	46%	4.6s	5.9s	113	1.19MB
770	http://www.mapbar.com/	83%	73%	6.3s	7.1s	52	306KB
771	http://www.readnovel.com/	75%	77%	5.4s	6.8s	74	1.33MB
772	http://www.m1905.com/	79%	70%	7.4s	8.2s	31	1.87MB
773	http://www.marriott.com/	58%	52%	5.6s	16.5s	146	3.10MB
774	http://www.popeater.com/	34%	43%	12.9s	20.3s	396	3.23MB
775	http://www.jsoftj.com/	45%	61%	15.0s	15.0s	141	1.25MB
776	http://www.tweetmeme.com/	88%	79%	1.2s	1.2s	9	341KB
777	http://www.hm.com/	88%	90%	1.2s	1.5s	12	405KB
778	http://www.travelzoo.com/	74%	58%	3.7s	4.5s	75	1.54MB
